filename,category,risk_gold,risk_pred,risk_ok,event_recall,critical_hit,false_alarm,summary_ok,action_ok,missing_pred
2uuwpx1ykPQ_trim_0.mp4,accident,Yüksek,Yüksek,True,0.0,True,False,False,True,False
3XOG - Workplace accidents happen all the time! All we can do is try learn f... [1615153821189013504].mp4,accident,Yüksek,Yüksek,True,0.0,True,False,False,True,False
"Beylikdüzü.anlık - Beylikdüzü Yeşil Flamingo Sitesi’nde yaşanan, Aydın Dirikolu’nun (61)... [2088241217045774336].mp4",accident,Yüksek,Yüksek,True,1.0,True,False,False,True,False
_XXq1kmmBYY_trim_6.mp4,accident,Yüksek,Yüksek,True,0.0,True,False,False,True,False
forklift guy was chilling when a woman attacks his forks [s-UHzuOh3B4].mp4,accident,Yüksek,Yüksek,True,0.0,True,False,False,True,False
sunil kumar rana - ⚠️ A routine warehouse task turned dangerous when an overloaded forkl... [2063292024804327424].mp4,accident,Yüksek,Yüksek,True,0.0,True,False,False,True,False
001e53453441935632ae_run_1_seed_1288693302.ceiling_01.rgb.mp4,near_miss,Düşük,Düşük,True,1.0,True,False,False,True,False
00f2bbb80d7badad0134_run_25_seed_750796930.ceiling_00.rgb.mp4,near_miss,Düşük,Düşük,True,0.0,False,False,False,True,False
016c1396912bfc432997_run_3_seed_1053328212.ceiling_00.rgb.mp4,near_miss,Orta,Orta,True,0.0,True,False,False,True,False
Forklift ear miss pedestrian not watching almost gets hit twice [pLjVBBW_g7c].mp4,near_miss,Orta,Orta,True,0.0,True,False,False,True,False
How NOT to UNLOAD a truck [t0abC-2oucI].mp4,near_miss,Orta,Orta,True,0.0,True,False,False,True,False
Near miss walk into the path of a forklift [EHyWjeJi1Oc].mp4,near_miss,Orta,Orta,True,0.0,True,False,False,True,False
0_tr5.mp4,normal,Düşük,Düşük,True,0.0,True,False,False,True,False
5_te13.mp4,normal,Düşük,Düşük,True,0.0,True,False,False,True,False
clip_HME_Work_Shop_20251111_000740_0030.mp4,normal,Düşük,Düşük,True,1.0,True,False,False,True,False
clip_TAR_Plant_DC-Floor_left_20251115_000000_0000.mp4,normal,Düşük,Düşük,True,1.0,True,False,False,True,False
clip_Tippler_1&2_CP_IP_Cam_20251127_000108_0002.mp4,normal,Düşük,Düşük,True,0.0,True,False,False,True,False
clip_Tippler_1&2_WT-1_Load_Side_20260403_003515_0055.mp4,normal,Düşük,Düşük,True,0.0,True,False,False,True,False
