category,ambiguity,filename,risk,n_events,summary
accident,net,-BzGMvclD88_trim_1.mp4,Yüksek,1,Çalışan yük taşırken dengesini kaybetti ve yüksekten düştü.
accident,net,1s2Tcqr3Rgg_trim_87.mp4,Yüksek,1,Fabrikadan duman ve alevler yükseliyor. Yangın olabilir
accident,belirsiz,2uuwpx1ykPQ_trim_0.mp4,Yüksek,1,Çalışanın üstüne ateş sıçrıyor.
accident,belirsiz,3XOG - Another workplace accident resulting in a crazy faceplant 😅 #StaySafe... [1617839956331823104].mp4,Yüksek,1,Çalışanın taşıdığı yük devrildi. Çalışanın yüksekten düşmesine sebep oldu.
accident,net,3XOG - Workplace accidents happen all the time! All we can do is try learn f... [1615153821189013504].mp4,Yüksek,1,Çalışan dengesini kaybedip düşüyor. Çalışanın üstüne araba düşüyor. İnsanlar yardıma geliyor.
accident,net,6AISVvob4C0_trim_7.mp4,Yüksek,1,Çalışan merdivenden düşüyor.
accident,net,"Aykırı - İş kazası güvenlik kamerasında.  Fabrikada, forklift sürücüsü işçiye ... [1972267097397854208].mp4",Yüksek,1,Yük taşıyan forklift çalışana çarpıyor. Çalışanın ayağı yükün altında kalıyor.
accident,belirsiz,"Beylikdüzü.anlık - Beylikdüzü Yeşil Flamingo Sitesi’nde yaşanan, Aydın Dirikolu’nun (61)... [2088241217045774336].mp4",Yüksek,1,Çalışan yüksekten yere düşüyor. Çalışan yerde hareketsiz yatıyor.
accident,net,Dude at my work slammed into a pole with a forklift and bent the blad... [hzvtKncHvyQ].mp4,Yüksek,1,Forklift direğe çarpıyor.
accident,net,Dumb ass fork lift driver rofl [G4g4RN3AFD8].mp4,Yüksek,1,Forklift devriliyor.
accident,net,Forklift Accident [na3Bzrmljd0].mp4,Yüksek,1,Forklift depodaki yük dolu raflara çarpıyor. Raf yüklerle birlikte devriliyor.
accident,net,Forklift Driver Causes an Entire Warehouse to Fall like Dominoes [g1l7g54wnlt41].mp4,Yüksek,1,Forklift depodaki yük dolu raflara çarpıyor. Raf yüklerle birlikte devriliyor.
accident,net,Forklift Safety Fail： Near Miss Caught on Camera 🚧 ｜ HSE Daily [dNrjH3a9E4k].mp4,Yüksek,1,Kamyondaki yük çalışanın üstüne düşüyor.
accident,net,HPDC Die casting machine accident (Hydraulic core hose connection removed) [aG0wEiV4XX0].mp4,Yüksek,1,Makine alev alıyor. Çalışanlar kaçıyor.
accident,net,Hate Detector 🔍 - A tragic industrial accident occurred at Pramukh Industries in the GI... [2062441335727284224].mp4,Yüksek,1,Çalışanın üzerine yük düşüyor. Çalışan boşluğa düşüyor.
accident,net,Insane Near-Death Accident On Construction Site! [cFpbTOOLcek] - Trim.mp4,Yüksek,1,Çalışanların üzerine yükler düşüyor. Çalışanlar kaçıyor.
accident,belirsiz,İZMİR’İN NABZI - İZMİR’DE FECİ İŞ KAZASI： İSKELE BÖYLE ÇÖKTÜ!  İzmir’in Balçova ilçesi... [2079890562375634944].mp4,Yüksek,1,Duvar üzerindeki çalışanlarla beraber başka bir çalışanın üzerine yıkılıyor.
accident,belirsiz,LiveLeak Work accident in Supermarket - Liveleak (198p).mp4,Yüksek,1,Çalışan merdivenden düşüyor
accident,net,Press tool accident - mohan kuchan (352p).mp4,Yüksek,1,Çalışanın üstüne yük düşüyor.
accident,net,R4pN50yYI5k_trim_2.mp4,Yüksek,1,Forklift depodaki yük dolu raflara çarpıyor. Raf yüklerle birlikte devriliyor.
accident,net,The Public Record - https：⧸⧸t.co⧸19h6ftihJO  🚨 BREAKING NEWS ｜ SOCIAL MEDIA • Workplace S... [2042443212972048390].mp4,Yüksek,2,Çalışanın üstüne yük düşüyor.
accident,net,VIDEO-2026-08-15-16-16-49.mp4,Yüksek,2,İşçilerin üzerine yüksekten tahta gibi yabancı maddeler düşüyor.
accident,net,VIDEO-2026-08-15-16-46-36.mp4,Yüksek,1,forklift raf sistemine çarpıyor ve raflar devriliyor. çalışan altında kalıyor.
accident,net,ZNOHrOs9VMA_trim_1.mp4,Yüksek,1,Forklift alev aldı. Çalışan alevlerin arasında kaldı.
accident,net,_2tSBxyAwLs_trim_52.mp4,Yüksek,1,Forklift parçası kopuyor. Forklift kontrolden çıkıyor ve kaza yapıyor.
