category,filename,risk,n_events,summary
accident,-BzGMvclD88_trim_1.mp4,Yüksek,1,Çalışan elinde yük varken dengesi kaybetti ve yüksekten düştü
accident,1s2Tcqr3Rgg_trim_87.mp4,Yüksek,1,Binadan duman ve alevler yükseliyor. Yangın olabilir
accident,2uuwpx1ykPQ_trim_0.mp4,Yüksek,1,Kişinin kıyafetinin yandığı tespit edilmiştir.
accident,3XOG - Another workplace accident resulting in a crazy faceplant 😅 #StaySafe... [1617839956331823104].mp4,Yüksek,1,Çalışanın taşıdığı yük devrildi. Çalışanın yüksekten düşmesine sebep oldu.
accident,3XOG - Workplace accidents happen all the time! All we can do is try learn f... [1615153821189013504].mp4,Yüksek,1,Çalışan dengesini kaybedip düşüyor. Çalışanın üstüne araba düşüyor. İnsanlar yardıma geliyor.
accident,6AISVvob4C0_trim_7.mp4,Yüksek,1,Çalışan merdivenden çıkıyor. Merdiven kayıyor ve çalışan yüksekten düşüyor.
accident,"Aykırı - İş kazası güvenlik kamerasında.  Fabrikada, forklift sürücüsü işçiye ... [1972267097397854208].mp4",Yüksek,1,"Çalışan, yükü taşıyan palete çarpıyor. Çalışanın ayağı yükün altında kalıyor."
accident,"Beylikdüzü.anlık - Beylikdüzü Yeşil Flamingo Sitesi’nde yaşanan, Aydın Dirikolu’nun (61)... [2088241217045774336].mp4",Yüksek,1,Çalışan yüksekten yere düşüyor. Çalışan yerde hareketsiz yatıyor.
accident,Dude at my work slammed into a pole with a forklift and bent the blad... [hzvtKncHvyQ].mp4,Yüksek,1,"Kazada forklift, bir direğe çarptı."
accident,Dumb ass fork lift driver rofl [G4g4RN3AFD8].mp4,Yüksek,1,Kazada forklift devrildi ve yükü yere düşürdü.
accident,Forklift Accident [na3Bzrmljd0].mp4,Yüksek,1,Forklift çarptı ve yükü ve raf sistemi çöktü.
accident,Forklift Driver Causes an Entire Warehouse to Fall like Dominoes [g1l7g54wnlt41].mp4,Yüksek,1,"Bir forklift, depo içindeki raf sistemini devirerek çöktü."
accident,Forklift Safety Fail： Near Miss Caught on Camera 🚧 ｜ HSE Daily [dNrjH3a9E4k].mp4,Yüksek,1,Kapalı kamyonun yükü çalışanın üstüne düştü.
accident,HPDC Die casting machine accident (Hydraulic core hose connection removed) [aG0wEiV4XX0].mp4,Yüksek,1,İş yerindeki makine patladı. Alevler yükseldi. Ve yanmaya devam etti.
accident,Hate Detector 🔍 - A tragic industrial accident occurred at Pramukh Industries in the GI... [2062441335727284224].mp4,Yüksek,1,İşçinin üzerine ağır yük düşüyor.
accident,İZMİR’İN NABZI - İZMİR’DE FECİ İŞ KAZASI： İSKELE BÖYLE ÇÖKTÜ!  İzmir’in Balçova ilçesi... [2079890562375634944].mp4,Yüksek,1,İşçinin üzerine duvar çöküyor. duvarın üzerindeki işçilerde düşüyor.
accident,LiveLeak Work accident in Supermarket - Liveleak (198p).mp4,Yüksek,1,Merdiven kayıyor ve işçi yüksekten düşüyor.
accident,Press tool accident - mohan kuchan (352p).mp4,Yüksek,2,Çalışanın kafasına yük düşüyor.
accident,R4pN50yYI5k_trim_2.mp4,Yüksek,1,Forklift raf sistemine çarpıyor ve raflar devriliyor.
accident,The Public Record - https：⧸⧸t.co⧸19h6ftihJO  🚨 BREAKING NEWS ｜ SOCIAL MEDIA • Workplace S... [2042443212972048390].mp4,Yüksek,2,Çalışanın üzerine ağır yük devriliyor.
accident,VIDEO-2026-08-15-16-16-49.mp4,Orta,2,İşçilerin üzerine yüksekten tahta gibi yabancı maddeler düşüyor.
accident,VIDEO-2026-08-15-16-46-36.mp4,Yüksek,1,forklift raf sistemine çarpıyor ve raflar devriliyor. çalışan altında kalıyor.
accident,ZNOHrOs9VMA_trim_1.mp4,Yüksek,1,Forklift motoru patladı ve alev aldı. İçerisindeki işçi yanıyor.
accident,_2tSBxyAwLs_trim_52.mp4,Yüksek,1,Forklift parçası kopuyor. forklift kontrolden çıkıyor ve geri geri giderek çarpıyor.
accident,_XXq1kmmBYY_trim_6.mp4,Yüksek,1,Forklift tavandan sarkan maddeye çarpıyor ve tavan çöküyor.
accident,forklift guy was chilling when a woman attacks his forks [s-UHzuOh3B4].mp4,Yüksek,1,kişi bisiklet sürerken forklifte çarpıp düşüyor.
accident,sunil kumar rana - ⚠️ A routine warehouse task turned dangerous when an overloaded forkl... [2063292024804327424].mp4,Yüksek,1,forklift devriliyor. bir kişi forkliftin altında kalıyor
near_miss,001e53453441935632ae_run_1_seed_1288693302.ceiling_00.rgb.mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Neredeyse temas edeceklerdi.
near_miss,001e53453441935632ae_run_1_seed_1288693302.ceiling_01.rgb.mp4,Düşük,1,Forklift çalışanın çok yakınından geçti. Neredeyse temas edeceklerdi.
near_miss,005bc639df8c4a2b36e0_run_21_seed_1062601381.ceiling_00.rgb.mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Neredeyse temas edeceklerdi.
near_miss,00e0991fbc61ad24102b_run_4_seed_1246964153.ceiling_00.rgb.mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Neredeyse temas edeceklerdi.
near_miss,00f2bbb80d7badad0134_run_25_seed_750796930.ceiling_00.rgb.mp4,Düşük,2,Forklift çalışanın çok yakınından geçti. Neredeyse temas edeceklerdi.
near_miss,01021d3989e38beb3395_run_10_seed_213384163.ceiling_00.rgb.mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Neredeyse temas edeceklerdi.
near_miss,0137e00c677a4118e887_run_2_seed_1276653305.ceiling_00.rgb.mp4,Düşük,2,Forklift çalışanın çok yakınından geçti. Neredeyse temas edeceklerdi.
near_miss,014f5a0f9461dfae29d5_run_13_seed_587824276.ceiling_00.rgb.mp4,Düşük,1,Forklift çalışanın çok yakınından geçti.Neredeyse temas edeceklerdi.
near_miss,016c1396912bfc432997_run_3_seed_1053328212.ceiling_00.rgb.mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Neredeyse temas edeceklerdi.
near_miss,018461e5b5cf7a482d3f_run_7_seed_659607876.ceiling_00.rgb.mp4,Düşük,1,Forklift çalışanın çok yakınından geçti. Neredeyse temas edeceklerdi.
near_miss,019b03676f77ba21f644_run_5_seed_946900070.ceiling_00.rgb.mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Neredeyse temas edeceklerdi.
