filename,category,ambiguity,risk_gold,risk_pred,risk_ok,event_recall,critical_hit,false_alarm,summary_ok,action_ok,missing_pred
-BzGMvclD88_trim_1.mp4,accident,net,Yüksek,Yüksek,True,1.0,True,False,True,True,False
1s2Tcqr3Rgg_trim_87.mp4,accident,net,Yüksek,Yüksek,True,1.0,True,False,True,True,False
2uuwpx1ykPQ_trim_0.mp4,accident,belirsiz,Yüksek,Yüksek,True,1.0,True,False,False,True,False
3XOG - Workplace accidents happen all the time! All we can do is try learn f... [1615153821189013504].mp4,accident,net,Yüksek,Yüksek,True,1.0,True,False,True,True,False
6AISVvob4C0_trim_7.mp4,accident,net,Yüksek,Yüksek,True,1.0,True,False,True,True,False
"Aykırı - İş kazası güvenlik kamerasında.  Fabrikada, forklift sürücüsü işçiye ... [1972267097397854208].mp4",accident,net,Yüksek,Yüksek,True,0.0,True,False,False,True,False
"Beylikdüzü.anlık - Beylikdüzü Yeşil Flamingo Sitesi’nde yaşanan, Aydın Dirikolu’nun (61)... [2088241217045774336].mp4",accident,belirsiz,Yüksek,Yüksek,True,1.0,True,False,True,True,False
Forklift Accident [na3Bzrmljd0].mp4,accident,net,Yüksek,Yüksek,True,1.0,True,False,True,True,False
Forklift Driver Causes an Entire Warehouse to Fall like Dominoes [g1l7g54wnlt41].mp4,accident,net,Yüksek,Yüksek,True,1.0,True,False,False,True,False
Forklift Safety Fail： Near Miss Caught on Camera 🚧 ｜ HSE Daily [dNrjH3a9E4k].mp4,accident,net,Yüksek,Yüksek,True,0.0,True,False,True,True,False
LiveLeak Work accident in Supermarket - Liveleak (198p).mp4,accident,belirsiz,Yüksek,Yüksek,True,1.0,True,False,True,True,False
Press tool accident - mohan kuchan (352p).mp4,accident,net,Yüksek,Yüksek,True,0.0,True,False,False,True,False
_2tSBxyAwLs_trim_52.mp4,accident,net,Yüksek,Orta,False,0.0,True,False,False,True,False
_XXq1kmmBYY_trim_6.mp4,accident,net,Yüksek,Yüksek,True,0.0,True,False,False,True,False
"worlds best forklift driver, Not!!! [vy6pNEFo_uE] - Trim.mp4",accident,net,Yüksek,Yüksek,True,0.0,True,False,True,True,False
001e53453441935632ae_run_1_seed_1288693302.ceiling_00.rgb.mp4,near_miss,net,Orta,Orta,True,1.0,True,False,True,True,False
001e53453441935632ae_run_1_seed_1288693302.ceiling_01.rgb.mp4,near_miss,net,Orta,Orta,True,1.0,True,False,True,True,False
005bc639df8c4a2b36e0_run_21_seed_1062601381.ceiling_00.rgb.mp4,near_miss,net,Orta,Yüksek,False,1.0,True,False,True,True,False
00f2bbb80d7badad0134_run_25_seed_750796930.ceiling_00.rgb.mp4,near_miss,net,Orta,Yüksek,False,1.0,True,False,True,True,False
01021d3989e38beb3395_run_10_seed_213384163.ceiling_00.rgb.mp4,near_miss,net,Orta,Orta,True,1.0,True,False,True,True,False
0137e00c677a4118e887_run_2_seed_1276653305.ceiling_00.rgb.mp4,near_miss,net,Orta,Orta,True,1.0,True,False,True,True,False
Daily Safety Fails🤯This is WHY You Stay Alert Around Forklifts – Near Miss🤯- #fail #safetyfails [GyU1XMIhu_o].mp4,near_miss,net,Orta,Yüksek,False,1.0,True,False,True,True,False
Forklift ear miss pedestrian not watching almost gets hit twice [pLjVBBW_g7c].mp4,near_miss,belirsiz,Orta,Yüksek,False,1.0,True,False,True,True,False
How NOT to UNLOAD a truck [t0abC-2oucI].mp4,near_miss,belirsiz,Orta,Orta,True,0.0,True,False,False,True,False
Near miss walk into the path of a forklift [EHyWjeJi1Oc].mp4,near_miss,net,Orta,Orta,True,1.0,True,False,True,True,False
Unloading truck goes wrong ｜ ViralCraft [jsg4cVJZib4].mp4,near_miss,net,Orta,Yüksek,False,0.0,True,False,True,True,False
_2tSBxyAwLs_trim_8.mp4,near_miss,net,Orta,Yüksek,False,0.0,True,False,True,True,False
06 20260717 182500 [iUGNs3bd26Q].mp4,normal,net,Düşük,Düşük,True,1.0,True,False,True,True,False
0_te1.mp4,normal,net,Düşük,Düşük,True,1.0,True,False,True,True,False
0_tr11.mp4,normal,net,Düşük,Orta,False,0.0,True,False,False,True,False
0_tr5.mp4,normal,net,Düşük,Düşük,True,0.0,True,False,True,True,False
ClearPix Camera Warehouse Dock [G8z74loJO7U].mp4,normal,net,Düşük,Düşük,True,0.0,True,False,False,True,False
TTKT1 ch2 20260801221500 20260801221601 [sk-ajvP4k_A].mp4,normal,net,Düşük,Düşük,True,0.0,True,False,True,True,False
clip_BF_CDI_Ground_CC2_20251111_000745_0031.mp4,normal,net,Düşük,Düşük,True,0.0,True,False,False,True,False
clip_CRM_1&2_CONV#2_20251129_000150_0008.mp4,normal,net,Düşük,Düşük,True,0.0,True,False,True,True,False
clip_CRM_1&2_CONV#2_20251129_002752_0094.mp4,normal,net,Düşük,Düşük,True,1.0,True,False,True,True,False
clip_CRM_WORK_SHOP_20260403_000215_0009.mp4,normal,net,Düşük,Düşük,True,0.0,True,False,True,True,False
clip_HME_Work_Shop_20251111_000740_0030.mp4,normal,net,Düşük,Düşük,True,0.0,True,False,True,True,False
clip_RERS_2_RERS-2_20251212_000040_0001.mp4,normal,net,Düşük,Düşük,True,1.0,True,False,True,True,False
clip_RERS_RERS-1_20251115_000405_0015.mp4,normal,belirsiz,Düşük,Düşük,True,0.0,True,False,True,True,False
clip_SMS_1_Crane_Lavel_HPTC_20260303_000019_0000.mp4,normal,belirsiz,Düşük,Düşük,True,0.0,True,False,False,True,False
