filename,category,gold_time,gold_event,durum,en_yakin_zaman,zaman_farki_sn,en_iyi_jaccard,eslesen_tahmin,ozet_jaccard,risk_gold,risk_pred
-BzGMvclD88_trim_1.mp4,accident,00:03,Çalışan yüksekten düştü ve hareketsiz yatıyor.,eslesti,00:02,1,0.2,Çalışan yük taşıırken dengesi kaybetti ve yere düştü.,0.385,Yüksek,Yüksek
1s2Tcqr3Rgg_trim_87.mp4,accident,00:01,Binadan duman ve alevler yükseliyor.,eslesti,00:00,1,0.273,Depo tankının üst kısmından alev ve koyu duman yükseliyor; yangın mevcut.,0.308,Yüksek,Yüksek
2uuwpx1ykPQ_trim_0.mp4,accident,00:03,Çalışanın üstüne ateş sıçrıyor.,eslesti,00:03,0,0.2,Araç çalışanın üstüne düşerek çarptı ve çalışan yere düştü.,0.083,Yüksek,Yüksek
3XOG - Workplace accidents happen all the time! All we can do is try learn f... [1615153821189013504].mp4,accident,00:03,Çalışan arabanın altında kaldı.,eslesti,00:02,1,0.273,Araç kaldırma platformu üstündeki beyaz araç ani olarak düşerek çalışanın üstüne çarptı ve çalışan.,0.211,Yüksek,Yüksek
6AISVvob4C0_trim_7.mp4,accident,00:04,Çalışan merdivenden düşüyor.,eslesti,00:04,0,0.6,Çalışan merdivenden yere düştü ve merdiven devrildi.,0.3,Yüksek,Yüksek
"Aykırı - İş kazası güvenlik kamerasında.  Fabrikada, forklift sürücüsü işçiye ... [1972267097397854208].mp4",accident,00:01,Yük taşıyan forklift çalışana çarpıyor. Çalışanın ayağı yükün altında kalıyor.,eslesti,00:00,1,0.143,Çalışan forklift tarafından çarptı ve yere düştü.,0.167,Yüksek,Yüksek
"Beylikdüzü.anlık - Beylikdüzü Yeşil Flamingo Sitesi’nde yaşanan, Aydın Dirikolu’nun (61)... [2088241217045774336].mp4",accident,00:03,Çalışan yüksekten düştü ve hareketsiz kaldı.,eslesti,00:02,1,0.429,Çalışan yere düştü ve hareketsiz şekilde yatıyor.,0.308,Yüksek,Yüksek
Forklift Accident [na3Bzrmljd0].mp4,accident,00:37,Forklift çapması sonucu yük dolu raflar devriliyor.,eslesti,00:36,1,0.273,Raf sistemi çöktü ve üstündeki tüm yükler yere düştü.,0.158,Yüksek,Yüksek
Forklift Driver Causes an Entire Warehouse to Fall like Dominoes [g1l7g54wnlt41].mp4,accident,00:32,Forklift çapması sonucu yük dolu raflar devriliyor.,eslesti,00:31,1,0.222,Raf sistemi çöktü ve yere devrildi.,0.125,Yüksek,Yüksek
Forklift Safety Fail： Near Miss Caught on Camera 🚧 ｜ HSE Daily [dNrjH3a9E4k].mp4,accident,00:06,Kamyondaki yük çalışanın üstüne düşüyor.,eslesti,00:06,0,0.25,Kamyonun arkasından bir yük düşerek çalışanın üstüne ve yere yayılan ürünlerle kazaya neden oldu.,0.188,Yüksek,Yüksek
LiveLeak Work accident in Supermarket - Liveleak (198p).mp4,accident,00:12,Çalışan merdivenden düşüyor,eslesti,00:11,1,0.429,Çalışan merdiven üzerinde dengesini kaybetti ve yere düştü.,0.3,Yüksek,Yüksek
Press tool accident - mohan kuchan (352p).mp4,accident,00:18,Çalışanın üstüne yük düşüyor.,metin_kacti,00:18,0,0.1,Çalışan makine yanında dengesini kaybederek yere düştü.,0.077,Yüksek,Yüksek
_2tSBxyAwLs_trim_52.mp4,accident,00:02,Forklift kontrolden çıkıyor ve kaza yapıyor.,metin_kacti,00:00,2,0.077,"Forklift çalışanın çok yakınından geçti, çalışan son anda kaçtı.",0.056,Yüksek,Orta
_XXq1kmmBYY_trim_6.mp4,accident,00:02,Forklift tavandan sarkan kabloya çarpıyor ve tavan çöküyor.,metin_kacti,00:00,2,0.062,Forklift kontrolü kaybederek devrilen yükün altında kalan çalışanı çarpar ve yere düşürür.,0.053,Yüksek,Yüksek
"worlds best forklift driver, Not!!! [vy6pNEFo_uE] - Trim.mp4",accident,00:09,Forklift çapması sonucu yük dolu raflar devriliyor.,eslesti,00:11,2,0.25,Forklift raf sistemine çarptı ve raf çöktü; toz bulutu yayıldı.,0.25,Yüksek,Yüksek
001e53453441935632ae_run_1_seed_1288693302.ceiling_00.rgb.mp4,near_miss,00:01,Forklift çalışanın çok yakınından geçti.,eslesti,00:00,1,0.556,"Forklift çalışanın çok yakınından geçti, çalışan son anda kaçtı.",0.75,Orta,Orta
001e53453441935632ae_run_1_seed_1288693302.ceiling_01.rgb.mp4,near_miss,00:01,Forklift çalışanın çok yakınından geçti.,eslesti,00:00,1,0.214,"Çalışan forkliftin çok yakınından geçerken, forklift aniden hareket eder ve çalışan son anda kaçar.",0.333,Orta,Orta
005bc639df8c4a2b36e0_run_21_seed_1062601381.ceiling_00.rgb.mp4,near_miss,00:03,Forklift çalışanın çok yakınından geçti,eslesti,00:03,0,0.154,Çalışan forkliftin çok yakınından geçerken dengesi kaybetti ve son anda kaçtı.,0.4,Orta,Yüksek
00f2bbb80d7badad0134_run_25_seed_750796930.ceiling_00.rgb.mp4,near_miss,00:02,Forklift çalışanın çok yakınından geçti.,eslesti,00:00,2,0.556,"Forklift çalışanın çok yakınından geçti, çalışan son anda kaçtı.",0.333,Orta,Yüksek
00f2bbb80d7badad0134_run_25_seed_750796930.ceiling_00.rgb.mp4,near_miss,00:06,Forklift çalışanın çok yakınından geçti.,eslesti,00:05,1,0.556,"Forklift çalışanın çok yakınından geçti, çalışan son anda kaçtı.",0.333,Orta,Yüksek
00f2bbb80d7badad0134_run_25_seed_750796930.ceiling_00.rgb.mp4,near_miss,00:09,Forklift çalışanın çok yakınından geçti.,eslesti,00:08,1,0.556,"Forklift çalışanın çok yakınından geçti, çalışan son anda kaçtı.",0.333,Orta,Yüksek
01021d3989e38beb3395_run_10_seed_213384163.ceiling_00.rgb.mp4,near_miss,00:04,Forklift çalışanın çok yakınından geçti.,eslesti,00:03,1,0.556,"Forklift çalışanın çok yakınından geçti, çalışan son anda kaçtı.",1.0,Orta,Orta
0137e00c677a4118e887_run_2_seed_1276653305.ceiling_00.rgb.mp4,near_miss,00:03,Forklift çalışanın çok yakınından geçti.,eslesti,00:02,1,0.214,"Çalışan forkliftin çok yakınından geçerken, forklift aniden hareket eder ve çalışan son anda kaçar.",0.333,Orta,Orta
0137e00c677a4118e887_run_2_seed_1276653305.ceiling_00.rgb.mp4,near_miss,00:07,Forklift çalışanın çok yakınından geçti.,eslesti,00:05,2,0.214,"Çalışan forkliftin çok yakınından geçerken, forklift aniden hareket eder ve çalışan son anda kaçar.",0.333,Orta,Orta
Daily Safety Fails🤯This is WHY You Stay Alert Around Forklifts – Near Miss🤯- #fail #safetyfails [GyU1XMIhu_o].mp4,near_miss,00:15,Çalışanlar yükün altında kalmaktan son anda kurtuldu.,eslesti,00:15,0,0.214,"Yüksek rafdan bir palet düşerek çalışanın üstüne doğru kaydı, çalışan kaçtı ve palet yere.",0.211,Orta,Yüksek
Forklift ear miss pedestrian not watching almost gets hit twice [pLjVBBW_g7c].mp4,near_miss,00:08,Forklift çalışanın çok yakınından geçti.,eslesti,00:06,2,0.4,"Forklift, çalışanın çok yakınından geçerken yükü kaybettirip yere düşürdü.",0.263,Orta,Yüksek
How NOT to UNLOAD a truck [t0abC-2oucI].mp4,near_miss,00:01,Çalışan yükün altında kalmaktan son anda kurtuldu.,eslesti,00:00,1,1.0,Çalışan yükün altında kalmaktan son anda kurtuldu.,0.1,Orta,Orta
Near miss walk into the path of a forklift [EHyWjeJi1Oc].mp4,near_miss,00:02,Forklift çalışanın çok yakınından geçti,eslesti,00:00,2,1.0,Forklift çalışanın çok yakınından geçti.,0.417,Orta,Orta
Unloading truck goes wrong ｜ ViralCraft [jsg4cVJZib4].mp4,near_miss,00:14,Çalışan yükün altında kalmaktan son anda kurtuldu.,metin_kacti,00:16,2,0.062,"Çalışan yükü çekerek taşırken dengesi kaybetti, yük devrildi ve çalışan yere düştü.",0.263,Orta,Yüksek
_2tSBxyAwLs_trim_8.mp4,near_miss,00:00,Çalışanlar yükün altında kalmaktan son anda kurtuldu,metin_kacti,00:01,1,0.067,Yük kamyonun arkasından düşerek yere saçıldı ve çalışanlar etrafında durdu.,0.316,Orta,Yüksek
06 20260717 182500 [iUGNs3bd26Q].mp4,normal,00:00,Çalışanlar rutin aktivitesini sürdürüyor.,eslesti,00:00,0,1.0,Çalışanlar rutin aktivitesini sürdürüyor.,0.154,Düşük,Düşük
0_te1.mp4,normal,00:00,Çalışan fabrikada yürüyor.,eslesti,00:00,0,0.25,Çalışanlar rutin aktivitesini sürdürüyor.,0.182,Düşük,Düşük
0_tr11.mp4,normal,00:00,Çalışanlar rutin aktivitesini sürdürüyor.,metin_kacti,00:00,0,0.0,Forklift çalışanın çok yakınından geçti.,0.0,Düşük,Orta
0_tr5.mp4,normal,00:00,Çalışanlar rutin aktivitesini sürdürüyor.,eslesti,00:00,0,1.0,Çalışanlar rutin aktivitesini sürdürüyor.,0.182,Düşük,Düşük
ClearPix Camera Warehouse Dock [G8z74loJO7U].mp4,normal,00:00,Çalışan rutin aktivitesini sürdürüyor.,eslesti,00:00,0,0.5,Çalışan kutularla çalışırken rutin aktivite sürdürüyor.,0.154,Düşük,Düşük
ClearPix Camera Warehouse Dock [G8z74loJO7U].mp4,normal,00:51,Çalışan forklift sürüyor,zaman_kacti,00:57,6,0.2,Çalışanlar rutin aktivitesini sürdürüyor. Forklift sahneye girdi ama çalışanla temas olmadı.,0.154,Düşük,Düşük
TTKT1 ch2 20260801221500 20260801221601 [sk-ajvP4k_A].mp4,normal,00:00,Çalışanlar rutin aktivitesini sürdürüyor.,eslesti,00:00,0,1.0,Çalışanlar rutin aktivitesini sürdürüyor.,0.231,Düşük,Düşük
clip_BF_CDI_Ground_CC2_20251111_000745_0031.mp4,normal,00:00,Çalışan rutin aktivitesini sürdürüyor.,eslesti,00:00,0,1.0,Çalışanlar rutin aktivitesini sürdürüyor.,0.111,Düşük,Düşük
clip_CRM_1&2_CONV#2_20251129_000150_0008.mp4,normal,00:00,Çalışanlar rutin aktivitesini sürdürüyor.,eslesti,00:00,0,1.0,Çalışanlar rutin aktivitesini sürdürüyor.,0.3,Düşük,Düşük
clip_CRM_1&2_CONV#2_20251129_002752_0094.mp4,normal,00:00,Çalışanlar rutin aktivitesini sürdürüyor.,eslesti,00:00,0,1.0,Çalışanlar rutin aktivitesini sürdürüyor.,0.375,Düşük,Düşük
clip_CRM_WORK_SHOP_20260403_000215_0009.mp4,normal,00:00,Çalışanlar rutin aktivitesini sürdürüyor.,eslesti,00:00,0,1.0,Çalışanlar rutin aktivitesini sürdürüyor.,0.182,Düşük,Düşük
clip_HME_Work_Shop_20251111_000740_0030.mp4,normal,00:00,Çalışanlar rutin aktivitesini sürdürüyor.,eslesti,00:00,0,1.0,Çalışanlar rutin aktivitesini sürdürüyor.,0.182,Düşük,Düşük
clip_RERS_2_RERS-2_20251212_000040_0001.mp4,normal,00:00,Çalışan rutin aktivitesini sürdürüyor.,eslesti,00:00,0,1.0,Çalışanlar rutin aktivitesini sürdürüyor.,0.222,Düşük,Düşük
clip_RERS_RERS-1_20251115_000405_0015.mp4,normal,00:00,Çalışanlar rutin aktivitesini sürdürüyor.,eslesti,00:00,0,1.0,Çalışanlar rutin aktivitesini sürdürüyor.,0.143,Düşük,Düşük
clip_SMS_1_Crane_Lavel_HPTC_20260303_000019_0000.mp4,normal,00:00,Görüntüde alevler var ama normal gözüküyor.,metin_kacti,00:00,0,0.0,Çalışanlar rutin aktivitesini sürdürüyor.,0.062,Düşük,Düşük
clip_Sinter_Plant_Flux_Screening_20251115_001517_0042.mp4,normal,00:00,Çalışanlar rutin aktivitesini sürdürüyor.,eslesti,00:00,0,1.0,Çalışanlar rutin aktivitesini sürdürüyor.,0.2,Düşük,Düşük
clip_TAR_Plant_DC-Floor_left_20251115_000000_0000.mp4,normal,00:00,Görüntüde duman var ama normal gözüküyor.,metin_kacti,00:00,0,0.0,Çalışan makine altındaki alanda rutin aktivite yapıyor.,0.25,Düşük,Düşük
clip_Tippler_1&2_CP_IP_Cam_20251127_000108_0002.mp4,normal,00:00,Çalışanlar rutin aktivitesini sürdürüyor.,eslesti,00:00,0,1.0,Çalışanlar rutin aktivitesini sürdürüyor.,0.375,Düşük,Düşük
clip_Tippler_1&2_WT-1_Load_Side_20260403_003515_0055.mp4,normal,00:00,Çalışan rutin aktivitesini sürdürüyor.,eslesti,00:00,0,1.0,Çalışanlar rutin aktivitesini sürdürüyor.,0.062,Düşük,Düşük
clip_Tippler_3&4_WT4_EMPTY_SIDE_20260403_001811_0046.mp4,normal,00:00,Çalışanlar rutin aktivitesini sürdürüyor.,eslesti,00:00,0,1.0,Çalışanlar rutin aktivitesini sürdürüyor.,0.143,Düşük,Düşük
