category,filename,risk,n_events,summary
accident,-BzGMvclD88_trim_1.mp4,Orta,1,Çalışan elinde yük varken dengesi kaybetti ve yüksekten düştü
accident,1s2Tcqr3Rgg_trim_87.mp4,Yüksek,1,Binadan duman ve alevler yükseliyor. Yangın olabilir
accident,2uuwpx1ykPQ_trim_0.mp4,Yüksek,1,Kişinin kıyafetinin yandığı tespit edilmiştir.
accident,3XOG - Another workplace accident resulting in a crazy faceplant 😅 #StaySafe... [1617839956331823104].mp4,Orta,1,Çalışanın taşıdığı yük devrildi. Çalışanın yüksekten düşmesine sebep oldu.
accident,3XOG - Workplace accidents happen all the time! All we can do is try learn f... [1615153821189013504].mp4,Yüksek,1,Operatör dengesini kaybedip düşüyor. Operatörün üstüne araba düşüyor. İnsanlar yardıma geliyor.
near_miss,Accident at work!!.mp4,Orta,1,Taşınan yükten çıkan bir parça çalışanın üstüne düştü. Çalışan parçanın altında kalmaktan son anda kurtuldu.
near_miss,Daily Safety Fails🤯This is WHY You Stay Alert Around Forklifts – Near Miss🤯- #fail #safetyfails [GyU1XMIhu_o].mp4,Orta,1,Rafta bulunan yük yüksekten düştü. İnsanlar altında kalmaktan son anda kurtuldu.
near_miss,Forklift ear miss pedestrian not watching almost gets hit twice [pLjVBBW_g7c].mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Neredeyse temas edeceklerdi.
near_miss,How NOT to UNLOAD a truck [t0abC-2oucI].mp4,Orta,1,Kamyonun arkasındaki yük indirilirken düştü. Çalışan altında kalmaktan son anda kurtuldu.
near_miss,Near miss walk into the path of a forklift [EHyWjeJi1Oc].mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Neredeyse temas edeceklerdi
near_miss,Unloading truck goes wrong ｜ ViralCraft [jsg4cVJZib4].mp4,Orta,1,Kamyonun arkasındaki yük indirilirken düştü. İnsanlar altında kalmaktan son anda kurtuldu
near_miss,_2tSBxyAwLs_trim_8.mp4,Orta,1,Kamyonun arkasındaki yük indirilirken düştü. İnsanlar altında kalmaktan son anda kurtuldu
normal,06 20260717 182500 [iUGNs3bd26Q].mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,0_te1.mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,0_tr11.mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,0_tr5.mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,30 July 2026 [XKZTNxMX0Lk].mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,5_te13.mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,5_te14.mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,7_tr19.mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,7_tr20.mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,ClearPix Camera Warehouse Dock [G8z74loJO7U].mp4,Düşük,2,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,Example of Hi-Definition Video Surveillance of a Factory Floor - by CCTVDOC.COM [8DJi4PrdFCg].mp4,Düşük,1,Çalışlan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,TTKT1 ch2 20260801221500 20260801221601 [sk-ajvP4k_A].mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,clip_ASP_ASP__in_out_gas_line_20251212_000510_0007.mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Duman var ama normal gözüküyor.
normal,clip_BF_CDI_Ground_CC2_20251111_000745_0031.mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor.  Normal gözüküyor.
normal,clip_BF_Conveyor_JN_21_20251111_001456_0058.mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,clip_CO_-_ASF_FBD-1_BAGGING_AREA_20251111_001013_0041.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,clip_CRM_1&2_CONV#2_20251129_000150_0008.mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,clip_CRM_1&2_CONV#2_20251129_002752_0094.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,clip_CRM_WORK_SHOP_20260403_000215_0009.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,clip_HME_Work_Shop_20251111_000740_0030.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,clip_RED_LRS-1_20251111_000204_0007.mp4,Düşük,2,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,clip_RED_LRS-1_20251111_000612_0021.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,clip_RERS_2_RERS-2_20251212_000040_0001.mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,clip_RERS_RERS-1_20251115_000405_0015.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Alev var ama normal gözüküyor.
normal,clip_SMS_1_Crane_Lavel_HPTC_20260303_000019_0000.mp4,Düşük,1,Alev var ama normal gözüküyor.
normal,clip_Sinter_Plant_Flux_Screening_20251115_001517_0042.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,clip_Sinter_Plant_Flux_Screening_20260303_000345_0015.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,clip_TAR_Plant_DC-Floor_left_20251115_000000_0000.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Duman var ama normal gözüküyor.
normal,clip_Tippler_1&2_CP_IP_Cam_20251127_000108_0002.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,clip_Tippler_1&2_WT-1_Load_Side_20260403_003515_0055.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,clip_Tippler_3&4_WT4_EMPTY_SIDE_20260403_001811_0046.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
